Date,Open,High,Low,Close,Adj Close,Volume
2014-02-20,60.9,61.28,60.26,60.38,46.9,18586325
2014-02-21,60.41,61.5,60.41,61.24,47.57,11296215
2014-02-24,61.2,61.3,60.24,60.78,47.21,15555400
2014-02-25,61.24,61.38,60.31,60.45,46.96,12886480
2014-02-26,60.44,61.18,60.3,60.5,47.0,16223385
2014-02-28,61.06,61.3,60.44,60.99,47.38,15882385
2014-03-03,60.47,62.49,60.31,60.55,47.03,23682525
2014-03-04,60.87,64.56,60.72,64.09,49.78,46799740
2014-03-05,64.94,67.0,63.93,66.29,51.49,60714475
2014-03-06,66.8,69.48,66.22,69.16,53.72,47161875
2014-03-07,69.48,75.78,69.4,75.18,58.4,89367625
2014-03-10,74.4,77.9,74.0,76.38,59.33,63668545
2014-03-11,76.58,77.48,73.28,74.25,57.68,50590570
2014-03-12,74.0,74.66,72.18,72.95,56.67,41946620
2014-03-13,73.62,75.6,71.22,72.27,56.14,36475990
2014-03-14,71.16,71.56,70.06,71.17,55.28,36817220
2014-03-18,71.9,73.47,71.82,72.74,56.5,27174725
2014-03-19,73.45,74.2,72.26,73.08,56.77,31403380
2014-03-20,73.18,73.18,72.0,72.41,56.25,17171155
2014-03-21,72.12,73.25,71.32,72.07,55.98,16034890
2014-03-24,73.0,76.16,72.95,75.84,58.91,37513855
2014-03-25,76.0,76.78,75.32,75.91,58.97,19975350
2014-03-26,76.6,80.6,76.44,80.35,62.42,65115345
2014-03-27,80.5,80.94,77.5,78.81,61.22,39826555
2014-03-28,79.78,81.54,79.66,80.98,62.9,29302440
2014-03-31,81.6,83.35,80.74,82.79,64.31,32357400
2014-04-01,83.68,83.8,81.04,82.07,63.75,34599935
2014-04-02,83.0,84.58,81.95,84.13,65.35,27943390
2014-04-03,84.27,84.4,81.64,82.42,64.02,22231335
2014-04-04,82.4,85.0,81.64,84.63,65.74,30135815
2014-04-07,84.6,86.22,83.8,85.78,66.63,26874500
2014-04-09,85.99,89.99,85.65,89.46,69.49,31729315
2014-04-10,89.94,91.14,88.82,89.36,69.41,38488235
2014-04-11,87.99,90.11,87.6,88.64,68.85,21511955
2014-04-15,87.25,89.0,82.67,83.96,65.22,32734535
2014-04-16,83.22,85.0,80.8,81.51,63.32,37971290
2014-04-17,82.0,83.65,81.82,83.42,64.8,25164155
2014-04-21,83.8,88.16,83.7,87.28,67.8,29146500
2014-04-22,87.89,88.7,86.52,86.87,67.48,25043430
2014-04-23,87.74,89.14,87.1,88.27,68.57,54729380
2014-04-24,88.27,88.27,88.27,88.27,68.57,0
2014-04-25,88.79,94.0,88.38,93.68,72.77,63239435
2014-04-28,93.7,94.96,91.3,92.65,71.97,24581965
2014-04-29,93.0,93.52,89.4,89.87,69.81,30283420
2014-04-30,90.04,90.9,85.75,88.15,68.47,35672520
2014-05-02,88.9,90.1,88.04,88.8,68.98,15135350
2014-05-05,88.21,89.47,87.13,87.7,68.12,25461135
2014-05-06,88.4,89.78,88.37,89.17,69.27,16527750
2014-05-07,89.17,89.56,86.7,87.09,67.65,16843665
2014-05-08,87.6,88.89,87.4,88.64,68.85,14093740
2014-05-09,87.8,99.7,87.8,96.91,75.28,83167225
2014-05-12,97.6,100.5,97.42,98.76,76.72,49316300
2014-05-13,100.6,107.18,99.93,103.84,80.66,84689900
2014-05-14,104.6,106.18,103.2,104.46,81.14,28450920
2014-05-15,104.98,106.98,103.51,104.75,81.37,25460630
2014-05-16,107.96,119.8,106.29,109.11,84.76,67713355
2014-05-19,110.94,114.38,110.02,113.15,87.89,36475525
